,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,FL,HEROIN,0.0,1.2,2013,1,0
1,MT,HEROIN,11.0,49.0,2013,1,0
2,OH,HEROIN,0.0,0.39,2013,1,0
3,WV,HEROIN,29.0,0.51,2013,1,180
4,WV,HEROIN,24.0,7.2,2013,1,0
5,WV,HEROIN,13.0,0.1,2013,1,100
6,NY,HEROIN,84.0,660.0,2013,1,0
7,WV,HEROIN,31.0,0.96,2013,1,400
8,NM,HEROIN,8.0,1.5,2013,1,0
10,MD,HEROIN,13.0,2.7,2013,1,0
11,FL,HEROIN,47.0,26.0,2013,1,0
12,IL,HEROIN,61.0,0.97,2013,1,140
13,IL,HEROIN,53.0,4.4,2013,1,600
14,WV,HEROIN,22.0,0.26,2013,1,260
15,MD,HEROIN,61.0,0.25,2013,1,0
16,IL,HEROIN,59.0,47.0,2013,1,0
17,TX,HEROIN,23.0,7.0,2013,1,60
18,WA,HEROIN,3.0,9.8,2013,1,0
19,TX,HEROIN,7.0,100.0,2013,1,4000
20,MD,HEROIN,0.0,0.051,2013,1,0
21,MI,HEROIN,82.0,1400.0,2013,1,0
22,MT,HEROIN,13.0,75.0,2013,1,0
23,MD,HEROIN,22.0,11.0,2013,1,0
24,IL,HEROIN,79.0,23.0,2013,1,2900
25,WA,HEROIN,28.0,75.0,2013,1,0
26,WA,HEROIN,21.0,1400.0,2013,1,0
27,WV,HEROIN,37.0,0.36,2013,1,0
28,WA,HEROIN,4.0,2.0,2013,1,0
29,WI,HEROIN,17.0,5.0,2013,1,0
30,CA,HEROIN,35.0,61.0,2013,1,0
31,LA,HEROIN,5.0,12.0,2013,1,1600
32,WA,HEROIN,0.0,28000.0,2013,1,0
33,NJ,HEROIN,72.0,39.0,2013,1,0
34,PA,HEROIN,47.0,2.0,2013,1,660
35,UT,HEROIN,0.0,2800.0,2013,1,0
36,WA,HEROIN,0.0,14000.0,2013,1,0
37,MD,HEROIN,0.0,0.001,2013,1,0
38,MA,HEROIN,38.0,4.4,2013,1,400
39,WV,HEROIN,23.0,0.24,2013,1,100
40,TX,HEROIN,32.0,2000.0,2013,1,0
41,MO,HEROIN,60.0,550.0,2013,1,0
42,WV,HEROIN,20.0,0.36,2013,1,100
43,ID,HEROIN,5.0,22.0,2013,1,600
44,CA,HEROIN,45.0,1.9,2013,1,0
45,OH,HEROIN,40.0,1900.0,2013,1,0
46,OH,HEROIN,35.0,150.0,2013,1,0
47,RI,HEROIN,0.0,110.0,2013,1,0
48,CA,HEROIN,0.0,15.0,2013,1,0
49,FL,HEROIN,0.0,0.083,2013,1,0
50,MD,HEROIN,58.0,0.48,2013,1,0
51,TX,HEROIN,25.0,6.0,2013,1,50
52,WV,HEROIN,33.0,0.14,2013,1,100
53,FL,HEROIN,0.0,3.9,2013,1,950
54,NC,HEROIN,15.0,1.0,2013,1,200
55,WI,HEROIN,17.0,5.0,2013,1,0
56,WV,HEROIN,0.0,0.32,2013,1,50
57,ME,HEROIN,44.0,1.7,2013,1,290
58,NM,HEROIN,20.0,2.6,2013,1,0
59,WV,HEROIN,52.0,0.25,2013,1,200
60,PA,HEROIN,3.0,0.71,2013,1,240
61,WA,HEROIN,3.0,2.0,2013,1,0
63,MT,HEROIN,13.0,0.53,2013,1,0
64,MD,HEROIN,0.0,0.001,2013,1,0
65,TX,HEROIN,43.0,12.0,2013,1,0
66,TX,HEROIN,36.0,12.0,2013,1,100
67,WV,HEROIN,61.0,0.96,2013,1,150
68,NY,HEROIN,39.0,1.2,2013,1,0
69,OR,HEROIN,15.0,1.9,2013,1,0
70,IL,HEROIN,66.0,0.84,2013,1,0
71,FL,HEROIN,48.0,110.0,2013,1,0
72,NJ,HEROIN,70.0,55.0,2013,1,0
73,NY,HEROIN,43.0,6.6,2013,1,0
74,TX,HEROIN,8.0,2.0,2013,1,200
75,MO,HEROIN,0.0,0.36,2013,1,0
76,CA,HEROIN,0.0,250.0,2013,1,0
77,TX,HEROIN,3.0,1.7,2013,1,100
78,FL,HEROIN,27.0,4.1,2013,1,500
79,RI,HEROIN,0.0,690.0,2013,1,0
80,MD,HEROIN,0.0,0.001,2013,1,0
81,NM,HEROIN,14.0,5.2,2013,1,0
82,NY,HEROIN,40.0,950.0,2013,1,0
83,FL,HEROIN,0.0,0.001,2013,1,0
