,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,VA,HEROIN,18,1.2,2012,1,300.0
1,OK,HEROIN,81,4200.0,2012,1,0.0
2,DC,HEROIN,19,2.2,2012,1,0.0
3,WI,HEROIN,21,4.6,2012,1,1100.0
4,TX,HEROIN,0,0.14,2012,1,40.0
5,NJ,HEROIN,0,0.16,2012,1,100.0
6,WI,HEROIN,32,6.0,2012,1,1600.0
7,NM,HEROIN,50,940.0,2012,1,0.0
8,PA,HEROIN,41,0.055999999999999994,2012,1,0.0
9,PA,HEROIN,43,0.3,2012,1,0.0
10,TX,HEROIN,0,0.25,2012,1,100.0
12,CT,HEROIN,41,0.18,2012,1,70.0
13,MO,HEROIN,13,51.0,2012,1,0.0
14,RI,HEROIN,87,120.0,2012,1,0.0
15,CT,HEROIN,39,0.18,2012,1,50.0
16,FL,HEROIN,4,14.0,2012,1,1500.0
17,NY,HEROIN,45,3.0,2012,1,900.0
18,MD,HEROIN,7,2.9,2012,1,480.0
19,AL,HEROIN,45,0.19,2012,1,100.0
20,UT,HEROIN,34,30.0,2012,1,0.0
21,CO,HEROIN,58,3.5,2012,1,250.0
22,CA,HEROIN,32,6.6,2012,1,450.0
23,MO,HEROIN,54,0.39,2012,1,0.0
24,OH,HEROIN,57,500.0,2012,1,0.0
25,NY,HEROIN,25,9.8,2012,1,1000.0
26,MN,HEROIN,29,28.0,2012,1,0.0
27,CT,HEROIN,15,0.95,2012,1,280.0
28,TX,HEROIN,0,0.001,2012,1,0.0
29,NJ,HEROIN,24,25.0,2012,1,3300.0
30,MD,HEROIN,0,24.0,2012,1,0.0
31,TN,HEROIN,0,0.11,2012,1,70.0
32,TN,HEROIN,0,0.2,2012,1,100.0
33,HI,HEROIN,0,0.001,2012,1,0.0
34,CO,HEROIN,0,19.0,2012,1,0.0
35,UT,HEROIN,41,12.0,2012,1,800.0
36,TX,HEROIN,0,0.22,2012,1,100.0
37,OR,HEROIN,36,5.0,2012,1,0.0
38,NY,HEROIN,27,0.71,2012,1,140.0
39,MO,HEROIN,38,1.8,2012,1,550.0
40,MT,HEROIN,26,29.0,2012,1,0.0
41,OH,HEROIN,27,50.0,2012,1,0.0
42,TX,HEROIN,30,980.0,2012,1,0.0
43,DC,HEROIN,23,56.0,2012,1,0.0
44,CA,HEROIN,0,1.0,2012,1,80.0
45,PA,HEROIN,3,30.0,2012,1,2000.0
46,OH,HEROIN,24,200.0,2012,1,0.0
47,NY,HEROIN,78,1100.0,2012,1,0.0
48,TX,HEROIN,0,0.001,2012,1,0.0
49,WA,HEROIN,22,8.9,2012,1,0.0
50,NY,HEROIN,40,20.0,2012,1,0.0
51,NY,HEROIN,6,0.67,2012,1,0.0
52,SC,HEROIN,0,0.001,2012,1,0.0
53,NY,HEROIN,78,1100.0,2012,1,0.0
54,TX,HEROIN,0,0.34,2012,1,0.0
55,CO,HEROIN,0,130.0,2012,1,0.0
56,MO,HEROIN,0,0.1,2012,1,0.0
57,CT,HEROIN,38,0.13,2012,1,0.0
58,MI,HEROIN,34,1.6,2012,1,0.0
59,DC,HEROIN,14,2.4,2012,1,0.0
60,MO,HEROIN,55,2.9,2012,1,500.0
61,MO,HEROIN,55,4.8,2012,1,740.0
62,WA,HEROIN,23,25.0,2012,1,0.0
63,MN,HEROIN,69,900.0,2012,1,0.0
64,NY,HEROIN,16,1.9,2012,1,0.0
65,MO,HEROIN,0,0.001,2012,1,0.0
66,NJ,HEROIN,2,1.5,2012,1,160.0
