,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,LA,HEROIN,10,28.0,2011,1,2500
1,WI,HEROIN,0,0.038,2011,1,0
2,MO,HEROIN,0,0.001,2011,1,0
3,WV,HEROIN,14,3.0,2011,1,0
4,NM,HEROIN,32,250.0,2011,1,0
5,PA,HEROIN,0,700.0,2011,1,0
6,NY,HEROIN,16,1.5,2011,1,0
7,WA,HEROIN,9,24.0,2011,1,450
8,MO,HEROIN,76,5.7,2011,1,0
9,NY,HEROIN,38,2.3,2011,1,450
10,IN,HEROIN,10,1.0,2011,1,100
11,NV,HEROIN,0,0.25,2011,1,0
12,WI,HEROIN,38,0.25,2011,1,0
13,FL,HEROIN,26,2.7,2011,1,0
14,MA,HEROIN,26,20.0,2011,1,1600
15,VA,HEROIN,25,42.0,2011,1,0
16,MO,HEROIN,20,0.55,2011,1,180
17,IL,HEROIN,68,2.9,2011,1,0
18,PA,HEROIN,27,9.8,2011,1,3000
19,WV,HEROIN,34,0.42,2011,1,120
20,WI,HEROIN,23,0.31,2011,1,0
21,FL,HEROIN,0,0.11,2011,1,0
22,TX,HEROIN,25,50.0,2011,1,2200
23,NJ,HEROIN,0,290.0,2011,1,0
24,TX,HEROIN,0,0.001,2011,1,0
25,MA,HEROIN,23,32.0,2011,1,0
26,MA,HEROIN,10,29.0,2011,1,0
27,IN,HEROIN,78,24.0,2011,1,0
28,NJ,HEROIN,46,410.0,2011,1,0
29,MA,HEROIN,0,0.075,2011,1,43
30,WI,HEROIN,39,0.23,2011,1,0
31,MA,HEROIN,23,100.0,2011,1,0
32,NY,HEROIN,37,2.5,2011,1,450
33,CA,HEROIN,0,0.27,2011,1,40
34,WI,HEROIN,37,0.12,2011,1,0
35,NY,HEROIN,26,0.16,2011,1,0
36,CA,HEROIN,5,42.0,2011,1,800
37,TX,HEROIN,11,980.0,2011,1,0
38,WA,HEROIN,43,8.6,2011,1,0
39,IN,HEROIN,83,20.0,2011,1,0
40,MD,HEROIN,34,0.84,2011,1,90
41,LA,HEROIN,23,1.3,2011,1,500
42,MA,HEROIN,8,0.57,2011,1,830
43,WV,HEROIN,76,1.9,2011,1,500
44,MO,HEROIN,59,0.26,2011,1,0
45,MO,HEROIN,19,23.0,2011,1,0
46,PA,HEROIN,24,1.8,2011,1,540
47,MA,HEROIN,25,6.4,2011,1,0
48,FL,HEROIN,0,0.079,2011,1,0
49,MA,HEROIN,10,10.0,2011,1,550
50,MO,HEROIN,19,2.8,2011,1,450
51,WA,HEROIN,27,25.0,2011,1,1300
52,PA,HEROIN,0,0.001,2011,1,0
53,OH,HEROIN,18,2.1,2011,1,200
54,WV,HEROIN,39,0.29,2011,1,200
55,CA,HEROIN,0,7.8,2011,1,320
56,MA,HEROIN,10,3.7,2011,1,0
57,WI,HEROIN,0,0.085,2011,1,0
58,WI,HEROIN,0,0.022000000000000002,2011,1,0
59,NY,HEROIN,32,0.87,2011,1,300
60,LA,HEROIN,12,2.3,2011,1,0
61,LA,HEROIN,31,14.0,2011,1,1500
62,WI,HEROIN,0,0.17,2011,1,0
63,CA,HEROIN,6,21.0,2011,1,400
64,IL,HEROIN,23,25.0,2011,1,2300
65,FL,HEROIN,22,0.6,2011,1,140
66,NY,HEROIN,8,0.27,2011,1,0
67,WI,HEROIN,0,0.094,2011,1,0
68,WI,HEROIN,0,0.025,2011,1,0
69,WI,HEROIN,0,0.067,2011,1,0
70,WV,HEROIN,73,1.9,2011,1,500
71,WI,HEROIN,58,0.34,2011,1,0
72,WI,HEROIN,40,4.9,2011,1,750
73,MA,HEROIN,24,300.0,2011,1,0
74,TX,HEROIN,25,130.0,2011,1,0
75,PA,HEROIN,51,100.0,2011,1,3500
76,TX,HEROIN,50,730.0,2011,1,0
77,PA,HEROIN,25,20.0,2011,1,0
78,PA,HEROIN,41,0.76,2011,1,0
79,VA,HEROIN,14,0.083,2011,1,0
80,VA,HEROIN,10,2.6,2011,1,0
81,WI,HEROIN,0,0.1,2011,1,0
82,FL,HEROIN,29,0.49,2011,1,120
83,IL,HEROIN,22,10.0,2011,1,1200
84,MA,HEROIN,0,38.0,2011,1,0
85,MA,HEROIN,10,9.9,2011,1,0
86,WV,HEROIN,35,1.8,2011,1,500
87,WA,HEROIN,8,24.0,2011,1,430
88,PA,HEROIN,0,0.11,2011,1,0
89,MO,HEROIN,0,0.001,2011,1,0
90,VA,HEROIN,37,86.0,2011,1,0
91,WA,HEROIN,3,250.0,2011,1,0
92,MA,HEROIN,26,1.4,2011,1,0
93,PA,HEROIN,0,0.001,2011,1,0
94,MA,HEROIN,11,27.0,2011,1,0
95,NY,HEROIN,26,0.18,2011,1,0
96,IL,HEROIN,94,2000.0,2011,1,0
97,IL,HEROIN,80,2.6,2011,1,0
98,WI,HEROIN,38,0.47,2011,1,0
99,PA,HEROIN,27,1.7,2011,1,320
100,TX,HEROIN,5,8.0,2011,1,0
101,TX,HEROIN,26,170.0,2011,1,0
102,MA,HEROIN,0,0.078,2011,1,43
103,TN,HEROIN,18,1.1,2011,1,500
104,NY,HEROIN,34,0.62,2011,1,200
105,VA,HEROIN,14,13.0,2011,1,0
106,PA,HEROIN,41,1.2,2011,1,0
107,WV,HEROIN,21,0.35,2011,1,120
108,OH,HEROIN,0,1.1,2011,1,100
109,IL,HEROIN,13,5.8,2011,1,180
110,TX,HEROIN,47,12.0,2011,1,660
111,MA,HEROIN,8,32.0,2011,1,830
112,WA,HEROIN,8,24.0,2011,1,430
113,MO,HEROIN,0,0.001,2011,1,0
114,WI,HEROIN,0,0.14,2011,1,0
115,IN,HEROIN,11,4.0,2011,1,200
116,MO,HEROIN,32,5.9,2011,1,900
117,MO,HEROIN,0,0.22,2011,1,75
118,MO,HEROIN,0,0.001,2011,1,0
119,MD,HEROIN,17,1.3,2011,1,340
