,AdBody,Area,Date,PostID,SubArea,Time,Title
168,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
169,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
170,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
171,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
172,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
173,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
174,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
175,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
176,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
177,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
178,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
179,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
180,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
181,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
182,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
183,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
184,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
185,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
186,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
187,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
188,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
189,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
190,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
191,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
192,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
193,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
194,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
195,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
196,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
197,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
198,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
199,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
200,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
201,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
202,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
203,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
204,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
205,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
206,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
207,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
208,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
209,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
210,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
211,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
212,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
213,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
214,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
215,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
216,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
217,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
218,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
219,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
220,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
221,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
222,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
223,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
224,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
225,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
226,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
227,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
228,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
229,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
230,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
231,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
232,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
233,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
234,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
235,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
236,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
237,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
238,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
239,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
240,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
241,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
242,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
243,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
244,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
245,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
246,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
247,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
248,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
249,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
250,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
251,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
252,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
253,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
254,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
255,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
256,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
257,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
258,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
259,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
260,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
261,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
262,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
263,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
264,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
265,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
266,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
267,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
268,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
269,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
270,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
271,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
272,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
273,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
274,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
275,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
276,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
277,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
278,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
279,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
280,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
281,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
282,Married couple seaking a woman for some fun.ideal time would be you come over have somthing to drink and relax.. maybe play some games or cards an get to know eahother more.,seattle,2018-02-23,6507064440,snohomish co,05:22:46,seek our 3rd - mw4w - casual encounters
283,"I'm looking for cuple. I'm a sexy, discreet, gentleman, confident and very sexual. I'm totally real and open minded and ready for fun today.",dallas,2018-03-11,6527390243,dallas,22:19:39,"JUST BE A REAL COUPLE. ANY  SIZE, AGE OR RACE. - m4mw - casual encounters"
284,New in town 33 yo  I'm all about a full size ðŸšº send pic And a little bit about What you thinking about and ill send mine with a number    ,los angeles,2018-03-11,6527371254,central LA,19:52:06,ISO BBW - m4w - casual encounters
285,Couple looking to try new things. Fit Italian and his plus plus size girl looking for a bisexual guy who wants to fuck her man while she watches and maybe joins in. Must be DF..clean..discrete and can host or join us at hotel. Send pics only if interested and pics sent in return.    ,new york,2018-03-12,6528515579,bronx,20:04:39,newbies looking to play - mw4m - casual encounters
286,Looking for ASAP!!!!!,las vegas,2018-02-15,6498136844,NOT_LISTED,17:37:34,Younger and muscular guy seeking Older MILF/GILF - m4w - casual encounters
287,I do massage and more ,"washington, DC",2018-03-16,6533360364,maryland,20:48:55,Massage and more - m4m - casual encounters
288,Young black cleaning and doing all wanted chores free of charge and naked who needs my services? I prefer older thank you but all reply with age and stats    ,atlanta,2018-02-17,6499870945,otp south,10:46:42,Nude cleaner - m4m - casual encounters
289,Hosting the next few hours. Looking to get sucked off by a sexy shemale. We could even swap head. Lets put some porn on in the background and go down on each other. Send pics and stats with reply. If the post is up im still looking. Put the subject as todays date.,seattle,2018-03-12,6528083122,snohomish co,11:34:20,Hosting - m4t - casual encounters
290,"Hi, me and hubby are visiting NYC for a few days! We are a very fun open minded  couple! I like tall muscular hairy guys! Be dominant and aggressive! Hubby loves to watch! Kik me hwvzla! Send some pics of you!    ",new york,2018-03-19,6536685922,manhattan,21:03:14,Married Latina in Times Square - w4m - casual encounters
291,"In shape, HWP, DDF and clean, discreet guy.  Total top, looking for giving great head to big D'kd guys.  Is that you?  8 or more?  18-45?  In shape?  Looking for a great situation for recurring stop bys for hot blo-n-go?",atlanta,2018-03-20,6537743822,otp west,18:56:47,I'm Hungry - Feed Me - m4m - casual encounters
