,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,NY,COCAINE,59,27.0,2011,1,0.0
1,MD,COCAINE,51,130.0,2011,1,0.0
2,ID,COCAINE,93,8.4,2011,1,500.0
3,FL,COCAINE,17,0.43,2011,1,180.0
4,LA,COCAINE,63,2000.0,2011,1,0.0
5,TN,COCAINE,16,28.0,2011,1,1200.0
6,LA,COCAINE,3,0.74,2011,1,500.0
7,OH,COCAINE,48,20.0,2011,1,1100.0
8,MA,COCAINE,66,14.0,2011,1,0.0
9,IA,COCAINE,45,55.0,2011,1,1800.0
10,NC,COCAINE,37,1.6,2011,1,0.0
11,MO,COCAINE,33,37.0,2011,1,0.0
12,IL,COCAINE,74,54.0,2011,1,2800.0
13,TN,COCAINE,22,22.0,2011,1,1100.0
14,NY,COCAINE,0,0.001,2011,1,0.0
15,RI,COCAINE,31,28.0,2011,1,1400.0
16,MO,COCAINE,46,13.0,2011,1,1000.0
17,AR,COCAINE,71,7000.0,2011,1,0.0
18,TN,COCAINE,63,7.2,2011,1,400.0
19,LA,COCAINE,71,2.1,2011,1,300.0
20,TN,COCAINE,33,18.0,2011,1,1000.0
21,PA,COCAINE,16,29.0,2011,1,0.0
22,MD,COCAINE,25,2.1,2011,1,1200.0
23,WA,COCAINE,70,8.1,2011,1,0.0
24,WV,COCAINE,34,11.0,2011,1,650.0
25,TX,COCAINE,44,6.4,2011,1,150.0
26,IA,COCAINE,79,1.1,2011,1,200.0
27,VA,COCAINE,42,3.1,2011,1,0.0
28,OH,COCAINE,39,21.0,2011,1,1100.0
29,NM,COCAINE,44,16.0,2011,1,0.0
30,TX,COCAINE,32,13.0,2011,1,600.0
31,PA,COCAINE,20,6.0,2011,1,0.0
32,MA,COCAINE,70,220.0,2011,1,0.0
33,WV,COCAINE,67,0.15,2011,1,240.0
34,PA,COCAINE,78,29.0,2011,1,1300.0
35,NJ,COCAINE,0,0.001,2011,1,0.0
36,OH,COCAINE,60,0.57,2011,1,0.0
37,UT,COCAINE,81,1.3,2011,1,150.0
38,UT,COCAINE,81,0.46,2011,1,50.0
39,FL,COCAINE,25,23.0,2011,1,0.0
40,MD,COCAINE,0,0.001,2011,1,0.0
41,IL,COCAINE,25,87.0,2011,1,1000.0
42,MA,COCAINE,0,0.11,2011,1,30.0
43,SC,COCAINE,72,2000.0,2011,1,0.0
44,MT,COCAINE,22,5.4,2011,1,450.0
45,WV,COCAINE,34,38.0,2011,1,2200.0
46,MO,COCAINE,52,1.3,2011,1,200.0
47,NY,COCAINE,69,0.56,2011,1,0.0
48,FL,COCAINE,45,140.0,2011,1,0.0
49,WV,COCAINE,49,1.8,2011,1,320.0
50,MA,COCAINE,87,4.8,2011,1,500.0
51,IA,COCAINE,91,1.7,2011,1,300.0
52,MD,COCAINE,40,55.0,2011,1,1900.0
53,MA,COCAINE,75,55.0,2011,1,2800.0
54,IN,COCAINE,63,21.0,2011,1,0.0
55,SC,COCAINE,76,2000.0,2011,1,0.0
56,WV,COCAINE,41,19.0,2011,1,1100.0
57,WV,COCAINE,69,0.99,2011,1,180.0
58,MD,COCAINE,80,3.0,2011,1,150.0
59,TX,COCAINE,50,18.0,2011,1,0.0
60,MA,COCAINE,88,33.0,2011,1,0.0
61,FL,COCAINE,77,1.2,2011,1,0.0
62,IN,COCAINE,65,250.0,2011,1,0.0
63,WV,COCAINE,57,0.84,2011,1,240.0
64,IL,COCAINE,35,370.0,2011,1,0.0
65,CT,COCAINE,82,27.0,2011,1,0.0
66,MA,COCAINE,52,27.0,2011,1,1100.0
