,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,MN,COCAINE,70,15000.0,2012,1,0
1,AZ,COCAINE,0,3.1,2012,1,0
2,GA,COCAINE,37,8.9,2012,1,0
3,TX,COCAINE,0,0.001,2012,1,0
4,CT,COCAINE,0,0.001,2012,1,0
5,CA,COCAINE,79,56.0,2012,1,2100
6,NY,COCAINE,24,6.1,2012,1,0
7,NB,COCAINE,21,20.0,2012,1,0
8,CA,COCAINE,0,20.0,2012,1,0
9,UT,COCAINE,43,1.8,2012,1,0
10,OH,COCAINE,66,54.0,2012,1,2500
11,MD,COCAINE,41,14.0,2012,1,600
12,MD,COCAINE,60,56.0,2012,1,0
13,OH,COCAINE,0,0.001,2012,1,0
14,TX,COCAINE,40,0.8,2012,1,40
15,SC,COCAINE,74,5900.0,2012,1,0
16,SC,COCAINE,78,3000.0,2012,1,0
17,GA,COCAINE,62,36.0,2012,1,1700
18,NY,COCAINE,51,29.0,2012,1,2000
19,CA,COCAINE,0,140.0,2012,1,0
20,TX,COCAINE,51,28.0,2012,1,800
21,PA,COCAINE,0,0.001,2012,1,0
22,TX,COCAINE,8,0.78,2012,1,0
23,AR,COCAINE,37,27.0,2012,1,1200
24,NM,COCAINE,0,0.001,2012,1,0
25,MD,COCAINE,74,58.0,2012,1,0
26,NJ,COCAINE,31,17.0,2012,1,900
27,AL,COCAINE,33,2.9,2012,1,160
28,MO,COCAINE,42,13.0,2012,1,630
29,WI,COCAINE,55,3.5,2012,1,170
30,AR,COCAINE,47,13.0,2012,1,500
31,TX,COCAINE,74,3900.0,2012,1,0
32,VT,COCAINE,16,8.7,2012,1,0
33,FL,COCAINE,28,56.0,2012,1,1700
34,TX,COCAINE,19,1.2,2012,1,0
35,CA,COCAINE,0,20000.0,2012,1,0
36,FL,COCAINE,68,13.0,2012,1,550
37,AZ,COCAINE,0,10000.0,2012,1,0
38,WV,COCAINE,46,1.0,2012,1,260
39,TX,COCAINE,13,5.7,2012,1,0
40,TX,COCAINE,0,0.001,2012,1,0
41,MD,COCAINE,0,0.001,2012,1,0
42,FL,COCAINE,67,56.0,2012,1,2200
