,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,WV,COCAINE,71,0.39,2010,1,0
1,TX,COCAINE,27,1.9,2010,1,0
2,CA,COCAINE,0,0.042,2010,1,0
3,OH,COCAINE,0,140,2010,1,0
4,NM,COCAINE,32,54,2010,1,1300
5,LA,COCAINE,64,8.7,2010,1,0
6,DC,COCAINE,68,31,2010,1,0
7,WV,COCAINE,37,12,2010,1,0
8,IL,COCAINE,0,1.6,2010,1,0
9,NY,COCAINE,0,0.001,2010,1,0
10,IL,COCAINE,74,5.3,2010,1,0
11,IL,COCAINE,91,3.1,2010,1,500
13,NY,COCAINE,27,28,2010,1,1400
14,NY,COCAINE,90,2000,2010,1,0
15,LA,COCAINE,0,6.7,2010,1,0
16,LA,COCAINE,0,9.6,2010,1,0
17,CA,COCAINE,55,11,2010,1,450
18,NY,COCAINE,0,50,2010,1,0
19,FL,COCAINE,0,0.1,2010,1,20
20,AZ,COCAINE,72,27,2010,1,0
21,MT,COCAINE,25,250,2010,1,0
22,GA,COCAINE,42,4.3,2010,1,300
23,FL,COCAINE,16,28,2010,1,0
24,PA,COCAINE,1,5.2,2010,1,0
25,KS,COCAINE,0,250,2010,1,0
26,FL,COCAINE,43,30,2010,1,0
27,CT,COCAINE,0,0.001,2010,1,0
28,CT,COCAINE,59,0.29,2010,1,0
29,NY,COCAINE,73,1000,2010,1,0
30,VA,COCAINE,33,54,2010,1,1900
31,SC,COCAINE,42,8.1,2010,1,400
32,MO,COCAINE,43,7.6,2010,1,650
33,AZ,COCAINE,0,3.4,2010,1,0
34,CA,COCAINE,61,84,2010,1,0
35,CO,COCAINE,18,28,2010,1,800
36,NY,COCAINE,33,28,2010,1,1300
37,CT,COCAINE,0,0.001,2010,1,0
38,GA,COCAINE,72,16000,2010,1,0
39,NY,COCAINE,78,620,2010,1,0
41,TX,COCAINE,66,330000,2010,1,0
42,CA,COCAINE,51,23,2010,1,1000
43,MO,COCAINE,64,27,2010,1,0
44,KS,COCAINE,93,990,2010,1,0
45,MS,COCAINE,38,140,2010,1,0
46,IL,COCAINE,71,22,2010,1,1200
47,VA,COCAINE,0,0.001,2010,1,0
48,LA,COCAINE,48,54,2010,1,1700
49,PA,COCAINE,0,94,2010,1,0
50,TN,COCAINE,32,110,2010,1,0
51,TN,COCAINE,43,170,2010,1,0
52,GA,COCAINE,31,80,2010,1,0
53,MI,COCAINE,58,18,2010,1,900
54,MS,COCAINE,40,140,2010,1,0
55,NY,COCAINE,83,2.9,2010,1,0
56,NC,COCAINE,29,28,2010,1,1100
57,FL,COCAINE,12,28,2010,1,650
58,AZ,COCAINE,75,2.2,2010,1,0
59,AL,COCAINE,59,24,2010,1,1100
60,MO,COCAINE,74,0.14,2010,1,0
61,FL,COCAINE,66,3000,2010,1,0
62,OH,COCAINE,54,28,2010,1,1200
63,LA,COCAINE,49,31,2010,1,0
64,MD,COCAINE,63,1.6,2010,1,150
65,MO,COCAINE,47,25,2010,1,0
66,PA,COCAINE,35,110,2010,1,3000
