,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,IL,COCAINE,0.0,26.0,2015,1,0
1,WV,COCAINE,48.0,0.72,2015,1,100
2,CA,COCAINE,75.0,21.0,2015,1,900
3,IL,COCAINE,0.0,34.0,2015,1,0
4,VA,COCAINE,0.0,2000.0,2015,1,0
5,MO,COCAINE,0.0,2000.0,2015,1,0
6,DE,COCAINE,25.0,56.0,2015,1,2000
7,HI,COCAINE,0.0,990.0,2015,1,0
8,TX,COCAINE,0.0,77.0,2015,1,0
9,NM,COCAINE,0.0,12.0,2015,1,0
10,FL,COCAINE,34.0,83.0,2015,1,3800
11,TX,COCAINE,0.0,1.0,2015,1,75
12,LA,COCAINE,54.0,31.0,2015,1,1000
13,TX,COCAINE,0.0,53.0,2015,1,0
15,PR,COCAINE,0.0,34.0,2015,1,0
16,GA,COCAINE,28.0,49.0,2015,1,2400
17,PR,COCAINE,0.0,20.0,2015,1,0
18,NC,COCAINE,48.0,28.0,2015,1,1600
19,MS,COCAINE,0.0,4700.0,2015,1,0
20,WV,COCAINE,14.0,3.0,2015,1,250
21,ME,COCAINE,17.0,7.2,2015,1,700
22,PR,COCAINE,21.0,1.6,2015,1,40
23,LA,COCAINE,45.0,27.0,2015,1,1300
24,FL,COCAINE,0.0,14.0,2015,1,1400
25,TX,COCAINE,0.0,180.0,2015,1,0
26,MA,COCAINE,69.0,22.0,2015,1,1300
27,WV,COCAINE,37.0,0.77,2015,1,200
28,FL,COCAINE,4.0,24.0,2015,1,1600
29,NM,COCAINE,0.0,11.0,2015,1,0
30,NM,COCAINE,45.0,28.0,2015,1,1000
31,IL,COCAINE,0.0,1.6,2015,1,0
32,CA,COCAINE,0.0,4000.0,2015,1,0
33,IL,COCAINE,0.0,300.0,2015,1,0
34,NM,COCAINE,0.0,2000.0,2015,1,0
35,VA,COCAINE,87.0,14.0,2015,1,800
36,PR,COCAINE,0.0,22.0,2015,1,0
37,VA,COCAINE,0.0,1000.0,2015,1,0
38,WV,COCAINE,42.0,0.95,2015,1,110
39,FL,COCAINE,0.0,1.4,2015,1,0
40,FL,COCAINE,78.0,1.8,2015,1,600
41,TX,COCAINE,0.0,1500.0,2015,1,0
42,TX,COCAINE,0.0,27.0,2015,1,0
43,WV,COCAINE,0.0,0.03,2015,1,0
44,MS,COCAINE,0.0,3000.0,2015,1,0
45,WV,COCAINE,43.0,1.2,2015,1,200
46,WV,COCAINE,39.0,0.4,2015,1,100
47,FL,COCAINE,0.0,0.001,2015,1,0
48,CT,COCAINE,17.0,24.0,2015,1,1500
49,VI,COCAINE,0.0,2.2,2015,1,0
50,MI,COCAINE,58.0,56.0,2015,1,3000
51,NY,COCAINE,0.0,450.0,2015,1,0
52,TX,COCAINE,0.0,24.0,2015,1,0
53,TX,COCAINE,0.0,1500.0,2015,1,0
54,NY,COCAINE,41.0,1.2,2015,1,100
55,TX,COCAINE,0.0,48.0,2015,1,0
56,WV,COCAINE,41.0,0.11,2015,1,110
57,VA,COCAINE,21.0,27.0,2015,1,1500
58,PR,COCAINE,0.0,14.0,2015,1,0
59,IL,COCAINE,0.0,1.9,2015,1,0
60,TX,COCAINE,0.0,3000.0,2015,1,0
61,WV,COCAINE,64.0,0.086,2015,1,50
62,IL,COCAINE,0.0,2.4,2015,1,0
63,TX,COCAINE,19.0,78.0,2015,1,3300
64,MD,COCAINE,48.0,12.0,2015,1,700
65,IL,COCAINE,0.0,8.5,2015,1,0
66,DE,COCAINE,32.0,56.0,2015,1,2000
67,WV,COCAINE,45.0,0.14,2015,1,110
68,PR,COCAINE,0.0,1000.0,2015,1,0
69,ME,COCAINE,11.0,14.0,2015,1,930
70,FL,COCAINE,0.0,0.001,2015,1,0
71,FL,COCAINE,0.0,0.001,2015,1,0
72,WV,COCAINE,63.0,0.26,2015,1,200
73,CA,COCAINE,64.0,28.0,2015,1,980
74,MI,COCAINE,0.0,6.8,2015,1,0
75,TX,COCAINE,0.0,18.0,2015,1,0
76,FL,COCAINE,33.0,43.0,2015,1,2400
77,TX,COCAINE,91.0,1.1,2015,1,100
78,WV,COCAINE,50.0,0.73,2015,1,200
79,PR,COCAINE,0.0,1000.0,2015,1,0
80,TX,COCAINE,0.0,13.0,2015,1,0
81,FL,COCAINE,0.0,980.0,2015,1,0
82,TX,COCAINE,0.0,310.0,2015,1,0
83,IL,COCAINE,0.0,2000.0,2015,1,0
84,WV,COCAINE,55.0,0.27,2015,1,100
85,TX,COCAINE,0.0,980.0,2015,1,0
86,TX,COCAINE,68.0,56.0,2015,1,1900
87,TX,COCAINE,0.0,6.8,2015,1,0
88,WV,COCAINE,18.0,2.0,2015,1,250
89,WV,COCAINE,12.0,2.2,2015,1,250
90,TX,COCAINE,0.0,510.0,2015,1,0
91,IL,COCAINE,0.0,2.7,2015,1,0
92,MA,COCAINE,66.0,3.3,2015,1,200
93,LA,COCAINE,0.0,6.1,2015,1,230
94,IL,COCAINE,0.0,14.0,2015,1,450
