,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,CA,COCAINE,76,1.0,2016,1,0
1,TX,COCAINE,74,1.2,2016,1,0
2,TX,COCAINE,76,1.4,2016,1,0
3,CA,COCAINE,75,0.98,2016,1,0
4,CA,COCAINE,73,1.0,2016,1,0
5,NC,COCAINE,0,7200.0,2016,1,0
6,IL,COCAINE,0,1.7,2016,1,300
7,CA,COCAINE,78,1.0,2016,1,0
8,TX,COCAINE,69,0.98,2016,1,0
9,FL,COCAINE,0,150.0,2016,1,0
10,IL,COCAINE,80,13.0,2016,1,600
11,TX,COCAINE,0,62000.0,2016,1,0
12,CA,COCAINE,74,1.1,2016,1,0
13,CA,COCAINE,76,1.0,2016,1,0
14,TX,COCAINE,0,180.0,2016,1,0
15,FL,COCAINE,0,15.0,2016,1,0
16,FL,COCAINE,0,4000.0,2016,1,0
17,CA,COCAINE,78,0.99,2016,1,0
18,CA,COCAINE,74,0.93,2016,1,0
19,CA,COCAINE,77,0.91,2016,1,50
20,ME,COCAINE,53,1.8,2016,1,400
21,CA,COCAINE,76,1.0,2016,1,0
22,CA,COCAINE,74,1.0,2016,1,0
23,TX,COCAINE,77,1.2,2016,1,0
24,CA,COCAINE,77,1.0,2016,1,0
25,NC,COCAINE,0,1500.0,2016,1,0
26,NC,COCAINE,0,690.0,2016,1,0
27,CA,COCAINE,74,1.0,2016,1,0
28,CA,COCAINE,0,690000.0,2016,1,0
29,MD,COCAINE,19,54.0,2016,1,2600
30,TX,COCAINE,76,0.89,2016,1,0
31,FL,COCAINE,0,23.0,2016,1,0
32,TX,COCAINE,0,5000.0,2016,1,0
33,CA,COCAINE,78,3.0,2016,1,200
34,CA,COCAINE,76,0.94,2016,1,0
35,TX,COCAINE,0,56.0,2016,1,0
36,CA,COCAINE,74,1.1,2016,1,0
37,TX,COCAINE,0,15000.0,2016,1,0
38,CA,COCAINE,75,1.0,2016,1,0
39,TX,COCAINE,0,27.0,2016,1,0
40,FL,COCAINE,0,1200.0,2016,1,0
41,CA,COCAINE,77,1.0,2016,1,0
42,CA,COCAINE,75,0.99,2016,1,0
43,TX,COCAINE,77,1.3,2016,1,0
44,CA,COCAINE,77,0.99,2016,1,0
45,WA,COCAINE,0,110.0,2016,1,0
46,CA,COCAINE,18,85.0,2016,1,1800
47,CA,COCAINE,74,1.0,2016,1,0
48,CA,COCAINE,77,1.0,2016,1,0
50,CA,COCAINE,73,0.9,2016,2,0
51,ME,COCAINE,62,17.0,2016,2,1500
52,FL,COCAINE,0,0.08900000000000001,2016,2,0
53,TX,COCAINE,76,1.0,2016,2,0
54,CA,COCAINE,0,0.32,2016,2,0
55,FL,COCAINE,73,0.99,2016,2,0
56,FL,COCAINE,74,0.98,2016,2,0
57,FL,COCAINE,72,0.99,2016,2,0
58,VA,COCAINE,86,0.99,2016,2,0
59,NM,COCAINE,0,27.0,2016,2,1000
60,MA,COCAINE,46,6.7,2016,2,340
61,FL,COCAINE,81,0.98,2016,2,0
62,IL,COCAINE,64,27.0,2016,2,1800
63,TX,COCAINE,0,2000.0,2016,2,0
64,IL,COCAINE,69,28.0,2016,2,1800
65,FL,COCAINE,79,1.0,2016,2,0
66,TX,COCAINE,25,28.0,2016,2,630
67,CA,COCAINE,0,5000.0,2016,2,0
68,CA,COCAINE,78,1.1,2016,2,0
69,CA,COCAINE,37,27.0,2016,2,900
72,FL,COCAINE,77,0.98,2016,2,0
73,FL,COCAINE,0,1.4,2016,2,1600
74,FL,COCAINE,74,0.96,2016,2,0
75,FL,COCAINE,73,0.97,2016,2,0
76,KS,COCAINE,0,250.0,2016,2,0
77,FL,COCAINE,75,0.98,2016,2,0
78,TX,COCAINE,90,1.0,2016,2,0
79,ME,COCAINE,65,20.0,2016,2,1300
80,TX,COCAINE,0,1000.0,2016,2,0
81,CA,COCAINE,78,7.1,2016,2,440
82,TX,COCAINE,56,28.0,2016,2,1100
83,TX,COCAINE,0,1000.0,2016,2,0
84,CA,COCAINE,0,12000.0,2016,2,0
85,VA,COCAINE,85,1.0,2016,2,0
88,TX,COCAINE,0,21000.0,2016,2,0
89,TX,COCAINE,74,1.0,2016,2,0
90,CA,COCAINE,11,110.0,2016,2,360
91,FL,COCAINE,74,1.0,2016,2,0
92,MS,COCAINE,0,15000.0,2016,2,0
93,FL,COCAINE,73,1.0,2016,2,0
94,IL,COCAINE,74,27.0,2016,2,1500
95,FL,COCAINE,74,0.98,2016,2,0
96,CA,COCAINE,0,10000.0,2016,2,0
97,MS,COCAINE,76,1.2,2016,2,0
98,VA,COCAINE,0,15000.0,2016,2,0
99,PR,COCAINE,0,0.03,2016,2,0
100,MS,COCAINE,76,1.2,2016,2,0
101,MA,COCAINE,46,6.5,2016,2,340
102,FL,COCAINE,77,1.0,2016,2,0
103,FL,COCAINE,76,0.99,2016,2,0
104,FL,COCAINE,82,1.0,2016,2,0
105,HI,COCAINE,0,990.0,2016,2,0
106,FL,COCAINE,73,0.98,2016,2,0
107,TX,COCAINE,0,1000.0,2016,2,0
108,FL,COCAINE,0,650000.0,2016,2,0
109,IL,COCAINE,66,28.0,2016,2,1800
110,MS,COCAINE,77,1.1,2016,2,0
111,FL,COCAINE,76,0.99,2016,2,0
112,FL,COCAINE,73,0.99,2016,2,0
113,VA,COCAINE,85,1.0,2016,2,0
114,ME,COCAINE,53,1.8,2016,2,170
115,CA,COCAINE,76,1.1,2016,2,0
116,FL,COCAINE,81,1.0,2016,3,0
117,FL,COCAINE,80,1.0,2016,3,0
118,FL,COCAINE,91,1.0,2016,3,0
119,MN,COCAINE,0,430.0,2016,3,0
120,TX,COCAINE,0,250.0,2016,3,0
121,VT,COCAINE,0,4.2,2016,3,0
122,FL,COCAINE,79,1.0,2016,3,0
123,MN,COCAINE,0,450.0,2016,3,0
124,AZ,COCAINE,84,1.0,2016,3,0
125,MS,COCAINE,82,1.0,2016,3,0
126,CO,COCAINE,0,990.0,2016,3,0
127,CA,COCAINE,0,10000.0,2016,3,0
128,FL,COCAINE,0,500.0,2016,3,0
129,FL,COCAINE,78,1.0,2016,3,0
130,MS,COCAINE,83,1.2,2016,3,0
131,TX,COCAINE,0,430.0,2016,3,0
132,CO,COCAINE,0,4000.0,2016,3,0
133,VT,COCAINE,0,26.0,2016,3,0
134,IL,COCAINE,80,0.71,2016,3,160
135,FL,COCAINE,78,0.97,2016,3,0
136,FL,COCAINE,80,1.0,2016,3,0
137,FL,COCAINE,81,1.0,2016,3,0
138,AZ,COCAINE,78,1.0,2016,3,0
139,MN,COCAINE,0,0.67,2016,3,0
140,MS,COCAINE,0,0.26,2016,3,0
141,FL,COCAINE,0,70.0,2016,3,2100
142,FL,COCAINE,79,1.0,2016,3,0
143,MA,COCAINE,38,6.9,2016,3,340
144,MO,COCAINE,0,0.84,2016,3,0
145,TX,COCAINE,0,63000.0,2016,3,0
146,MN,COCAINE,0,110.0,2016,3,0
147,FL,COCAINE,0,2.2,2016,3,0
148,FL,COCAINE,77,28.0,2016,3,1400
149,TX,COCAINE,66,1.0,2016,3,0
150,CA,COCAINE,74,1.0,2016,3,0
151,TX,COCAINE,68,1.0,2016,3,0
152,IL,COCAINE,57,27.0,2016,3,1100
153,WA,COCAINE,0,460.0,2016,3,0
154,IL,COCAINE,57,0.52,2016,3,100
155,TX,COCAINE,65,1.0,2016,3,0
156,TX,COCAINE,77,28.0,2016,3,1100
157,FL,COCAINE,0,400000.0,2016,3,0
