,State,Drug,Potency,Net Grams,Year Seized,Month Seized,USD Price
0,FL,COCAINE,50.0,3.3,2013,1,0.0
1,OH,COCAINE,69.0,1.0,2013,1,100.0
2,DE,COCAINE,56.0,27.0,2013,1,300.0
3,ME,COCAINE,39.0,4.9,2013,1,500.0
4,SC,COCAINE,0.0,7900.0,2013,1,0.0
5,CA,COCAINE,68.0,5.0,2013,1,500.0
6,MD,COCAINE,0.0,0.001,2013,1,0.0
7,MS,COCAINE,39.0,17.0,2013,1,1000.0
8,MO,COCAINE,25.0,3.2,2013,1,400.0
9,IL,COCAINE,53.0,530.0,2013,1,0.0
10,FL,COCAINE,38.0,760.0,2013,1,0.0
11,GA,COCAINE,66.0,3.3,2013,1,500.0
12,CA,COCAINE,81.0,28.0,2013,1,1400.0
13,TX,COCAINE,0.0,200.0,2013,1,0.0
14,MD,COCAINE,0.0,0.068,2013,1,0.0
15,TX,COCAINE,75.0,130.0,2013,1,4000.0
16,AL,COCAINE,0.0,25.0,2013,1,0.05
17,CO,COCAINE,22.0,55.0,2013,1,1700.0
18,IA,COCAINE,0.0,3.1,2013,1,0.0
19,OR,COCAINE,0.0,0.86,2013,1,0.0
20,MS,COCAINE,0.0,0.001,2013,1,0.0
21,TX,COCAINE,0.0,0.001,2013,1,0.0
22,NY,COCAINE,0.0,0.41,2013,1,50.0
23,CA,COCAINE,0.0,0.29,2013,1,0.0
25,FL,COCAINE,0.0,54.0,2013,1,0.0
26,NV,COCAINE,68.0,42.0,2013,1,0.0
27,AL,COCAINE,72.0,6.5,2013,1,350.0
28,FL,COCAINE,75.0,1000.0,2013,1,0.0
29,GA,COCAINE,76.0,16.0,2013,1,1500.0
30,GA,COCAINE,41.0,24.0,2013,1,1000.0
31,TX,COCAINE,0.0,0.07200000000000001,2013,1,0.0
32,FL,COCAINE,0.0,14.0,2013,1,0.0
33,FL,COCAINE,0.0,0.001,2013,1,0.0
34,LA,COCAINE,74.0,14.0,2013,1,680.0
35,NC,COCAINE,0.0,28.0,2013,1,0.0
36,KY,COCAINE,30.0,85.0,2013,1,3600.0
37,MN,COCAINE,72.0,11.0,2013,1,0.0
38,TX,COCAINE,23.0,28.0,2013,1,600.0
39,PA,COCAINE,76.0,49.0,2013,1,0.0
40,MA,COCAINE,78.0,990.0,2013,1,0.0
41,FL,COCAINE,77.0,4.0,2013,1,0.0
42,MS,COCAINE,65.0,2.4,2013,1,500.0
43,FL,COCAINE,0.0,0.075,2013,1,50.0
44,FL,COCAINE,0.0,0.29,2013,1,50.0
45,IL,COCAINE,13.0,150.0,2013,1,0.0
46,MD,COCAINE,0.0,0.064,2013,1,0.0
47,NY,COCAINE,0.0,16000.0,2013,1,0.0
48,ME,COCAINE,55.0,0.94,2013,1,200.0
49,CA,COCAINE,49.0,320.0,2013,1,0.0
51,VA,COCAINE,18.0,6.6,2013,1,300.0
52,MS,COCAINE,0.0,0.001,2013,1,0.0
53,ME,COCAINE,46.0,5.5,2013,1,500.0
54,IA,COCAINE,0.0,2.6,2013,1,0.0
55,WV,COCAINE,42.0,0.64,2013,1,200.0
56,FL,COCAINE,0.0,0.32,2013,1,0.0
57,FL,COCAINE,0.0,1.9,2013,1,0.0
58,TX,COCAINE,0.0,0.001,2013,1,0.0
59,IL,COCAINE,77.0,75.0,2013,1,0.0
60,FL,COCAINE,0.0,0.001,2013,1,0.0
61,FL,COCAINE,83.0,0.83,2013,1,60.0
62,IL,COCAINE,31.0,27.0,2013,1,1100.0
63,MD,COCAINE,87.0,0.13,2013,1,0.0
64,IN,COCAINE,21.0,27.0,2013,1,950.0
65,MS,COCAINE,42.0,4.2,2013,1,500.0
66,NY,COCAINE,46.0,2.8,2013,1,200.0
67,FL,COCAINE,75.0,26.0,2013,1,0.0
68,MO,COCAINE,0.0,9.0,2013,1,600.0
69,WA,COCAINE,91.0,22.0,2013,1,0.0
70,MD,COCAINE,0.0,0.001,2013,1,0.0
71,OH,COCAINE,23.0,6.9,2013,1,340.0
72,IL,COCAINE,12.0,7.4,2013,1,0.0
73,CO,COCAINE,0.0,0.078,2013,1,0.0
74,TX,COCAINE,67.0,8800.0,2013,1,0.0
75,NY,COCAINE,57.0,13.0,2013,1,700.0
76,CA,COCAINE,28.0,0.54,2013,1,40.0
77,CA,COCAINE,21.0,110.0,2013,1,3400.0
78,IA,COCAINE,0.0,0.37,2013,1,0.0
79,IA,COCAINE,0.0,35.0,2013,1,0.0
80,OH,COCAINE,67.0,0.41,2013,1,100.0
81,IA,COCAINE,92.0,0.91,2013,1,300.0
82,TX,COCAINE,37.0,25.0,2013,1,2200.0
83,GA,COCAINE,62.0,1.7,2013,1,300.0
84,TX,COCAINE,0.0,0.001,2013,1,0.0
85,AL,COCAINE,51.0,0.001,2013,1,1900.0
86,GA,COCAINE,55.0,52.0,2013,1,2200.0
87,MD,COCAINE,25.0,110.0,2013,1,5200.0
88,TX,COCAINE,0.0,0.001,2013,1,0.0
89,FL,COCAINE,46.0,2.7,2013,1,140.0
90,OH,COCAINE,19.0,14.0,2013,1,700.0
91,WV,COCAINE,66.0,1.0,2013,1,200.0
92,WV,COCAINE,45.0,0.61,2013,1,140.0
93,VA,COCAINE,51.0,1700.0,2013,1,0.0
94,FL,COCAINE,0.0,0.18,2013,1,0.0
95,IL,COCAINE,40.0,2.6,2013,1,150.0
96,NY,COCAINE,73.0,380.0,2013,1,0.0
97,IL,COCAINE,35.0,27.0,2013,1,1100.0
98,TX,COCAINE,76.0,2000.0,2013,1,0.0
99,FL,COCAINE,53.0,27.0,2013,1,1000.0
100,TX,COCAINE,80.0,4900.0,2013,1,0.0
101,MS,COCAINE,63.0,26.0,2013,1,1400.0
103,MD,COCAINE,49.0,0.32,2013,1,0.0
104,MD,COCAINE,30.0,61.0,2013,1,0.0
105,IL,COCAINE,8.0,94.0,2013,1,0.0
106,TX,COCAINE,0.0,0.001,2013,1,0.0
107,WV,COCAINE,90.0,1.1,2013,1,200.0
108,IA,COCAINE,75.0,490.0,2013,1,0.0
109,FL,COCAINE,0.0,0.19,2013,1,40.0
110,NY,COCAINE,77.0,6.2,2013,1,750.0
111,TX,COCAINE,12.0,1400.0,2013,1,0.0
112,MD,COCAINE,62.0,41.0,2013,1,0.0
113,MI,COCAINE,49.0,1.2,2013,1,0.0
114,IL,COCAINE,12.0,28.0,2013,1,1100.0
115,MO,COCAINE,51.0,40.0,2013,1,1800.0
116,IL,COCAINE,3.0,14.0,2013,1,500.0
117,IA,COCAINE,77.0,2.3,2013,1,600.0
118,FL,COCAINE,49.0,2.9,2013,1,140.0
119,TX,COCAINE,10.0,1.8,2013,1,0.0
120,MD,COCAINE,49.0,28.0,2013,1,0.0
121,FL,COCAINE,78.0,2.1,2013,1,0.0
122,PA,COCAINE,44.0,59.0,2013,1,0.0
123,FL,COCAINE,84.0,2000.0,2013,1,0.0
124,WV,COCAINE,72.0,0.7,2013,1,200.0
125,LA,COCAINE,23.0,50.0,2013,1,2600.0
126,FL,COCAINE,18.0,44.0,2013,1,1400.0
127,PA,COCAINE,51.0,27.0,2013,1,1200.0
128,FL,COCAINE,0.0,1.1,2013,1,0.0
129,FL,COCAINE,82.0,430000.0,2013,1,0.0
130,IL,COCAINE,88.0,990.0,2013,1,0.0
131,WA,COCAINE,0.0,0.18,2013,1,0.0
132,GA,COCAINE,27.0,47.0,2013,1,1500.0
133,WV,COCAINE,79.0,12.0,2013,1,0.0
134,SD,COCAINE,44.0,52.0,2013,1,0.0
135,CA,COCAINE,77.0,29000.0,2013,1,0.0
136,IL,COCAINE,38.0,28.0,2013,1,1100.0
137,FL,COCAINE,72.0,28.0,2013,1,1100.0
138,TX,COCAINE,71.0,2.1,2013,1,0.0
139,TX,COCAINE,90.0,3000.0,2013,1,0.0
140,MS,COCAINE,60.0,0.72,2013,1,0.0
141,MO,COCAINE,69.0,2000.0,2013,1,0.0
142,GA,COCAINE,81.0,0.85,2013,1,0.0
143,FL,COCAINE,0.0,0.98,2013,1,0.0
144,FL,COCAINE,75.0,4.5,2013,1,0.0
145,NY,COCAINE,32.0,0.4,2013,1,0.0
146,FL,COCAINE,0.0,0.001,2013,1,0.0
147,NY,COCAINE,2.0,2000.0,2013,1,0.0
148,KY,COCAINE,35.0,0.69,2013,1,0.0
149,CA,COCAINE,73.0,370000.0,2013,1,0.0
150,NY,COCAINE,6.0,1500.0,2013,1,0.0
151,NM,COCAINE,16.0,24.0,2013,1,800.0
152,FL,COCAINE,79.0,120000.0,2013,1,0.0
153,MD,COCAINE,67.0,18.0,2013,1,0.0
154,NY,COCAINE,75.0,13000.0,2013,1,0.0
155,TN,COCAINE,0.0,0.46,2013,1,0.0
156,MI,COCAINE,73.0,1000.0,2013,1,0.0
157,MD,COCAINE,52.0,0.53,2013,1,0.0
158,AL,COCAINE,37.0,26.0,2013,1,1300.0
159,LA,COCAINE,0.0,6.7,2013,1,0.0
160,PA,COCAINE,0.0,0.1,2013,1,0.0
161,MD,COCAINE,31.0,4.3,2013,1,0.0
162,MA,COCAINE,87.0,10.0,2013,1,800.0
163,FL,COCAINE,73.0,82.0,2013,1,0.0
164,FL,COCAINE,71.0,28.0,2013,1,1200.0
165,MN,COCAINE,72.0,4900.0,2013,1,0.0
166,WV,COCAINE,32.0,0.59,2013,1,100.0
167,WV,COCAINE,60.0,0.83,2013,1,200.0
168,CO,COCAINE,26.0,28.0,2013,1,800.0
169,FL,COCAINE,71.0,3.5,2013,1,0.0
170,NC,COCAINE,60.0,27.0,2013,1,1500.0
171,WV,COCAINE,85.0,0.11,2013,1,100.0
172,GA,COCAINE,40.0,33.0,2013,1,1100.0
173,NC,COCAINE,25.0,6.5,2013,1,350.0
174,MD,COCAINE,0.0,26.0,2013,1,0.0
175,FL,COCAINE,10.0,110.0,2013,1,3000.0
176,NC,COCAINE,0.0,82.0,2013,1,0.0
177,TX,COCAINE,85.0,11000.0,2013,1,0.0
178,OH,COCAINE,24.0,13.0,2013,1,620.0
180,MS,COCAINE,74.0,3500.0,2013,1,0.0
181,CA,COCAINE,26.0,0.88,2013,1,60.0
182,CA,COCAINE,76.0,3000.0,2013,1,0.0
183,IL,COCAINE,72.0,81.0,2013,1,4200.0
184,LA,COCAINE,42.0,4.4,2013,1,350.0
185,FL,COCAINE,13.0,85.0,2013,1,2300.0
186,WV,COCAINE,47.0,2.4,2013,1,380.0
187,MI,COCAINE,62.0,380.0,2013,1,0.0
188,MD,COCAINE,52.0,0.44,2013,1,0.0
190,TX,COCAINE,17.0,0.73,2013,1,0.0
191,OK,COCAINE,21.0,14.0,2013,1,0.0
192,FL,COCAINE,0.0,7.7,2013,1,350.0
193,CA,COCAINE,0.0,190.0,2013,1,0.0
194,MD,COCAINE,40.0,26.0,2013,1,1200.0
195,TN,COCAINE,0.0,59.0,2013,1,0.0
196,MN,COCAINE,86.0,3000.0,2013,1,0.0
197,MS,COCAINE,69.0,250.0,2013,1,11000.0
198,TX,COCAINE,0.0,190.0,2013,1,0.0
199,FL,COCAINE,0.0,0.15,2013,1,0.0
200,DE,COCAINE,33.0,1.9,2013,1,0.0
201,VA,COCAINE,0.0,480.0,2013,1,0.0
202,IL,COCAINE,43.0,4.6,2013,1,300.0
203,WI,COCAINE,17.0,110.0,2013,1,3600.0
204,AL,COCAINE,82.0,27.0,2013,1,1400.0
205,WV,COCAINE,80.0,0.96,2013,1,200.0
206,MD,COCAINE,0.0,0.001,2013,1,0.0
207,TX,COCAINE,0.0,5000.0,2013,1,0.0
208,CT,COCAINE,12.0,1.4,2013,1,100.0
209,TN,COCAINE,51.0,12.0,2013,1,0.0
210,NC,COCAINE,41.0,6.7,2013,1,300.0
211,UT,COCAINE,77.0,24000.0,2013,1,0.0
212,MD,COCAINE,0.0,0.34,2013,1,0.0
213,TX,COCAINE,25.0,13.0,2013,1,600.0
214,FL,COCAINE,78.0,24.0,2013,1,0.0
215,WV,COCAINE,36.0,0.53,2013,1,0.0
216,GA,COCAINE,34.0,13.0,2013,1,600.0
217,NC,COCAINE,16.0,6.6,2013,1,350.0
218,MO,COCAINE,83.0,3000.0,2013,1,0.0
219,WV,COCAINE,36.0,1.3,2013,1,200.0
220,TX,COCAINE,0.0,5900.0,2013,1,0.0
221,GA,COCAINE,67.0,47.0,2013,1,2200.0
222,FL,COCAINE,29.0,810.0,2013,1,0.0
223,CA,COCAINE,46.0,6.5,2013,1,0.0
224,TX,COCAINE,28.0,1.1,2013,1,200.0
225,IL,COCAINE,90.0,6.9,2013,1,0.0
226,UT,COCAINE,83.0,26.0,2013,1,0.0
227,WV,COCAINE,38.0,0.5,2013,1,100.0
228,MD,COCAINE,0.0,0.001,2013,1,0.0
229,TX,COCAINE,50.0,20.0,2013,1,1800.0
230,AL,COCAINE,38.0,47.0,2013,1,0.0
231,MN,COCAINE,63.0,28.0,2013,1,1400.0
232,TX,COCAINE,79.0,5.1,2013,1,0.0
233,AL,COCAINE,49.0,55.0,2013,1,2700.0
234,MI,COCAINE,72.0,630.0,2013,1,0.0
235,NY,COCAINE,72.0,380.0,2013,1,0.0
236,MS,COCAINE,20.0,63.0,2013,1,0.0
237,MO,COCAINE,55.0,26.0,2013,1,1200.0
239,MT,COCAINE,63.0,1.2,2013,1,0.0
240,TX,COCAINE,64.0,0.26,2013,1,0.0
241,MD,COCAINE,10.0,1.0,2013,1,0.0
242,WV,COCAINE,70.0,1.0,2013,1,200.0
244,GA,COCAINE,23.0,7.8,2013,1,0.0
245,MD,COCAINE,0.0,27.0,2013,1,0.0
246,TX,COCAINE,79.0,280.0,2013,1,0.0
247,MD,COCAINE,85.0,7.9,2013,1,0.0
248,IA,COCAINE,0.0,2.5,2013,1,0.0
249,VA,COCAINE,20.0,6.3,2013,1,860.0
250,FL,COCAINE,0.0,1.0,2013,1,0.0
251,TX,COCAINE,52.0,11.0,2013,1,0.0
252,WA,COCAINE,32.0,28.0,2013,1,1000.0
253,MO,COCAINE,43.0,2.1,2013,1,300.0
254,TN,COCAINE,0.0,0.6,2013,1,0.0
255,TX,COCAINE,64.0,25.0,2013,1,2000.0
256,NJ,COCAINE,78.0,1000.0,2013,1,0.0
257,TX,COCAINE,0.0,0.001,2013,1,0.0
258,FL,COCAINE,0.0,0.059000000000000004,2013,1,0.0
259,TX,COCAINE,0.0,0.084,2013,1,0.0
260,MD,COCAINE,0.0,0.001,2013,1,0.0
261,PA,COCAINE,60.0,28.0,2013,1,1400.0
262,GA,COCAINE,14.0,2.6,2013,1,0.0
263,TX,COCAINE,69.0,29.0,2013,1,1100.0
264,FL,COCAINE,70.0,26.0,2013,1,0.0
265,NY,COCAINE,41.0,22.0,2013,1,1600.0
266,FL,COCAINE,75.0,26.0,2013,1,0.0
267,CO,COCAINE,82.0,56.0,2013,1,2700.0
268,SD,COCAINE,34.0,6.2,2013,1,0.0
269,FL,COCAINE,57.0,64.0,2013,1,0.0
270,NY,COCAINE,49.0,5.1,2013,1,500.0
271,FL,COCAINE,80.0,25.0,2013,1,1600.0
272,FL,COCAINE,15.0,0.46,2013,1,0.0
273,LA,COCAINE,45.0,0.49,2013,1,200.0
274,LA,COCAINE,12.0,5.0,2013,1,300.0
275,NJ,COCAINE,65.0,2.3,2013,1,0.0
276,FL,COCAINE,0.0,0.001,2013,1,0.0
277,GA,COCAINE,14.0,5.6,2013,1,0.0
278,FL,COCAINE,75.0,10000.0,2013,1,0.0
279,TX,COCAINE,47.0,100.0,2013,1,2400.0
280,NY,COCAINE,75.0,13000.0,2013,1,0.0
281,CO,COCAINE,91.0,28.0,2013,1,1200.0
282,TX,COCAINE,59.0,0.8,2013,1,80.0
283,MO,COCAINE,90.0,7.5,2013,1,0.0
284,FL,COCAINE,0.0,28.0,2013,1,1200.0
285,WV,COCAINE,47.0,0.43,2013,1,100.0
286,NM,COCAINE,20.0,23.0,2013,1,800.0
287,TX,COCAINE,81.0,3000.0,2013,1,0.0
288,NY,COCAINE,33.0,980.0,2013,1,0.0
289,TX,COCAINE,87.0,56.0,2013,1,0.0
290,NY,COCAINE,47.0,980.0,2013,1,0.0
291,FL,COCAINE,80.0,530000.0,2013,1,0.0
292,VA,COCAINE,27.0,2.7,2013,1,0.0
294,NC,COCAINE,39.0,53.0,2013,1,2200.0
295,TX,COCAINE,0.0,89.0,2013,2,0.0
296,TX,COCAINE,81.0,200000.0,2013,2,0.0
297,TX,COCAINE,82.0,24.0,2013,2,1200.0
298,TX,COCAINE,75.0,5900.0,2013,2,0.0
299,FL,COCAINE,0.0,1000.0,2013,2,0.0
301,AZ,COCAINE,0.0,1000.0,2013,2,0.0
302,NY,COCAINE,58.0,28.0,2013,2,0.0
303,FL,COCAINE,73.0,82.0,2013,2,4200.0
304,OH,COCAINE,25.0,14.0,2013,2,450.0
306,FL,COCAINE,17.0,15.0,2013,2,0.0
308,WI,COCAINE,50.0,5.7,2013,2,0.0
309,WA,COCAINE,0.0,0.15,2013,2,0.0
310,WI,COCAINE,53.0,7.3,2013,2,0.0
311,GA,COCAINE,11.0,6.2,2013,2,0.0
312,FL,COCAINE,0.0,550.0,2013,2,0.0
313,GA,COCAINE,65.0,3.7,2013,2,250.0
314,FL,COCAINE,0.0,0.22,2013,2,100.0
315,MD,COCAINE,13.0,2.5,2013,2,160.0
316,KY,COCAINE,41.0,26.0,2013,2,0.0
317,MI,COCAINE,0.0,7.5,2013,2,0.0
318,CA,COCAINE,72.0,8000.0,2013,2,0.0
319,DC,COCAINE,44.0,28.0,2013,2,1200.0
320,TX,COCAINE,17.0,260.0,2013,2,0.0
321,GA,COCAINE,60.0,1.8,2013,2,250.0
322,IL,COCAINE,29.0,170.0,2013,2,0.0
323,CA,COCAINE,0.0,3.4,2013,2,0.0
324,TX,COCAINE,72.0,13000.0,2013,2,0.0
325,AK,COCAINE,44.0,1.1,2013,2,0.0
326,NC,COCAINE,13.0,8.6,2013,2,530.0
328,IL,COCAINE,0.0,12.0,2013,2,0.0
329,FL,COCAINE,14.0,14.0,2013,2,350.0
330,IL,COCAINE,31.0,28.0,2013,2,1100.0
331,GA,COCAINE,26.0,35.0,2013,2,1400.0
332,FL,COCAINE,64.0,250.0,2013,2,0.0
333,TX,COCAINE,38.0,210.0,2013,2,0.0
334,WV,COCAINE,81.0,1.4,2013,2,200.0
335,TX,COCAINE,0.0,0.25,2013,2,0.0
337,FL,COCAINE,14.0,27.0,2013,2,0.0
338,OH,COCAINE,0.0,42.0,2013,2,0.0
339,TX,COCAINE,0.0,8100.0,2013,2,0.0
340,WV,COCAINE,57.0,1.1,2013,2,200.0
341,NC,COCAINE,33.0,13.0,2013,2,500.0
342,IA,COCAINE,60.0,0.81,2013,2,0.0
343,VA,COCAINE,0.0,48.0,2013,2,0.0
345,WA,COCAINE,75.0,28.0,2013,2,1100.0
346,CA,COCAINE,18.0,0.89,2013,2,100.0
347,WI,COCAINE,75.0,3.3,2013,2,0.0
348,NY,COCAINE,40.0,4.1,2013,2,0.0
350,CT,COCAINE,33.0,190.0,2013,2,0.0
351,TX,COCAINE,73.0,28.0,2013,2,1100.0
352,TX,COCAINE,75.0,28.0,2013,2,1200.0
353,FL,COCAINE,0.0,0.001,2013,2,0.0
354,OH,COCAINE,0.0,41.0,2013,2,0.0
355,MD,COCAINE,75.0,2.8,2013,2,300.0
356,CA,COCAINE,73.0,7.0,2013,2,400.0
357,OH,COCAINE,0.0,0.32,2013,2,0.0
359,CA,COCAINE,67.0,120000.0,2013,2,0.0
360,CA,COCAINE,84.0,370000.0,2013,2,0.0
361,FL,COCAINE,75.0,1.6,2013,2,0.0
362,IN,COCAINE,49.0,2.3,2013,2,300.0
363,CA,COCAINE,71.0,7000.0,2013,2,0.0
365,TX,COCAINE,73.0,0.54,2013,2,0.0
366,MN,COCAINE,24.0,27.0,2013,2,1500.0
367,TX,COCAINE,0.0,5.2,2013,2,0.0
368,MA,COCAINE,68.0,20.0,2013,2,1500.0
369,MD,COCAINE,55.0,6.2,2013,2,550.0
370,CA,COCAINE,13.0,1.5,2013,2,0.0
371,MS,COCAINE,37.0,24.0,2013,2,1500.0
372,MD,COCAINE,55.0,12.0,2013,2,900.0
373,TX,COCAINE,90.0,0.61,2013,2,0.0
374,CT,COCAINE,0.0,54.0,2013,2,0.0
375,AZ,COCAINE,0.0,130.0,2013,2,0.0
376,VA,COCAINE,85.0,14.0,2013,2,0.0
377,WV,COCAINE,71.0,0.53,2013,2,100.0
378,NC,COCAINE,47.0,990.0,2013,2,0.0
380,FL,COCAINE,47.0,27.0,2013,2,1300.0
381,WA,COCAINE,26.0,6.8,2013,2,460.0
382,FL,COCAINE,0.0,0.001,2013,2,0.0
383,IL,COCAINE,0.0,160.0,2013,2,0.0
384,FL,COCAINE,0.0,0.001,2013,2,0.0
385,TX,COCAINE,70.0,2.7,2013,2,200.0
386,VA,COCAINE,0.0,14.0,2013,2,0.0
387,FL,COCAINE,13.0,27.0,2013,2,0.0
389,CA,COCAINE,49.0,970.0,2013,2,0.0
390,IL,COCAINE,34.0,5.1,2013,2,500.0
391,TX,COCAINE,65.0,14000.0,2013,2,0.0
392,MI,COCAINE,0.0,0.16,2013,2,0.0
393,CA,COCAINE,12.0,54.0,2013,2,1400.0
394,FL,COCAINE,60.0,26.0,2013,2,1100.0
395,WA,COCAINE,28.0,5.4,2013,2,460.0
396,WV,COCAINE,84.0,1.0,2013,2,200.0
397,TX,COCAINE,25.0,53.0,2013,2,2800.0
398,FL,COCAINE,0.0,0.001,2013,2,0.0
399,NJ,COCAINE,34.0,53.0,2013,2,2800.0
400,GA,COCAINE,39.0,21.0,2013,2,1300.0
401,OH,COCAINE,78.0,97.0,2013,2,0.0
402,IL,COCAINE,0.0,4.0,2013,2,0.0
403,TX,COCAINE,0.0,1.5,2013,2,0.0
404,FL,COCAINE,72.0,56.0,2013,2,2400.0
405,LA,COCAINE,42.0,52.0,2013,2,1900.0
406,NY,COCAINE,53.0,5.4,2013,2,0.0
407,NY,COCAINE,27.0,190.0,2013,2,0.0
408,CA,COCAINE,0.0,0.95,2013,2,0.0
409,FL,COCAINE,68.0,27.0,2013,2,0.0
410,MI,COCAINE,0.0,37.0,2013,2,0.0
411,IA,COCAINE,90.0,2.2,2013,2,480.0
412,MT,COCAINE,0.0,0.13,2013,2,0.0
413,FL,COCAINE,36.0,270.0,2013,2,0.0
414,TX,COCAINE,18.0,130.0,2013,2,0.0
415,MI,COCAINE,0.0,0.27,2013,2,0.0
416,FL,COCAINE,46.0,0.86,2013,2,0.0
417,FL,COCAINE,71.0,5900.0,2013,2,0.0
